Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"5007291-1","Gear","Lights",2022,"Stormtrooper Key Light",,,12.99,,,14.99,4895028521189,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007331-1","Gear","Housewares",2022,"LEGO Tin Lunchbox",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007337-1","Super Mario","Virtual Product Collection",2022,"Luigi s Mansion Madness Bundle",,,181.96,209.96,269.96,204.96,5702017405193,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007338-1","Super Mario","Virtual Product Collection",2022,"The Beach Blast Bundle",,,134.97,149.97,189.97,149.97,5702017405216,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007403-1","Gear","Key Chains/Star Wars",2022,"The Mandalorian Beskar Keychain",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007405-1","Gear","Video Games/Xbox Series XS & Xbox One",2022,"LEGO Star Wars: The Skywalker Saga Deluxe Edition - Xbox Series XS & Xbox One",,,,69.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007406-1","Gear","Video Games/Nintendo Switch",2022,"LEGO Star Wars: The Skywalker Saga Deluxe Edition - Nintendo Switch",,,,69.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007407-1","Gear","Video Games/PS5",2022,"LEGO Star Wars: The Skywalker Saga Deluxe Edition - PlayStation 5",,,,69.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007408-1","Gear","Video Games/PS4",2022,"LEGO Star Wars: The Skywalker Saga Deluxe Edition - PlayStation 4",,,,69.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007409-1","Gear","Video Games/PS5",2022,"LEGO Star Wars: The Skywalker Saga Deluxe Edition - PlayStation 5",,,59.99,,,69.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007418-1","Books","",2022,"Ferrari Daytona SP3: The Sense of Perfection",,,69.99,79.99,,79.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007429-1","Gear","Clothing",2022,"LEGO CON 2022 T-Shirt",,,,24.99,24.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007433-1","Gear","Clothing",2022,"LEGO CON 2022 Pullover Hoodie",,,,49.99,49.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007451-1","Gear","Role-play toys",2022,"Lego Guy Mask & Hands Costume Kit",,,,24.99,29.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007453-1","Gear","Plush",2022,"Hermione Granger Plush",,,24.99,26.99,32.99,29.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007454-1","Gear","Plush",2022,"Albus Dumbledore Plush",,,24.99,,,29.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007455-1","Gear","Plush",2022,"Harry Potter Plush",,,24.99,26.99,32.99,29.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007456-1","Gear","Plush",2022,"Rey Plush",,,,26.99,32.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007457-1","Gear","Plush",2022,"The Mandalorian Plush",,,,31.99,39.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007459-1","Gear","Plush",2022,"R2 D2 Plush",,,,31.99,39.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007486-1","Gear","Bags",2022,"Lloyd Future Backpack",,,39.99,,,44.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007491-1","Gear","Plush",2022,"Lord Voldemort Plush",,,,26.99,32.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007493-1","Gear","Plush",2022,"Hedwig Plush",,,24.99,,,29.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007494-1","Gear","Plush",2022,"Hagrid Plush",,,34.99,,,37.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007500-1","Gear","Posters",2022,"UCS Landspeeder Print",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007501-1","Gear","Posters",2022,"Landspeeder poster",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007504-1","Gear","Posters",2022,"Vintage LEGO Logo Poster",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007505-1","Gear","Stickers",2022,"Duck Lenticular Sticker",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007507-1","Gear","Games",2022,"LEGO Friends Pair Cards",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007520-1","Gear","Stationery",2022,"LEGO Travel Postcard and Sticker Set",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007545-1","Gear","Bags",2022,"LEGO 90th Tote Bag",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"6385428-1","Promotional","Miscellaneous",2022,"Trophy",,20,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,19.5300,,"",""
"6385434-1","Harry Potter","Promotional",2022,"Golden Snitch",,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"6385440-1","Dots","",2022,"DOTS sampler",,85,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"6411312-1","Miscellaneous","",2022,"Grill",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"6424685-1","Promotional","LEGO Brand Store Opening Set",2022,"I Heart LEGO Store Leicester Square Tile",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"6424688-1","Promotional","LEGO Brand Store Opening Set",2022,"LEGO Delivery Truck",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"6426244-1","Promotional","",2022,"90th Anniversary Mini Castle",,158,,,,,5702017412146,,,,,,"",0,0,0,,0,0,,,,,,,,,69.9900,,"",""
"BLOCKS088-1","Books","Magazines/Blocks",2022,"Blocks magazine issue 88",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BLOCKS089-1","Books","Magazines/Blocks",2022,"Blocks magazine issue 89",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BLOCKS090-1","Books","Magazines/Blocks",2022,"Blocks magazine issue 90",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BLOCKS091-1","Books","Magazines/Blocks",2022,"Blocks magazine issue 91",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BLOCKS092-1","Books","Magazines/Blocks",2022,"Blocks magazine issue 92",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BLOCKS093-1","Books","Magazines/Blocks",2022,"Blocks magazine issue 93",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BLOCKS094-1","Books","Magazines/Blocks",2022,"Blocks magazine issue 94",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BLOCKS095-1","Books","Magazines/Blocks",2022,"Blocks magazine issue 95",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BRICKJOURNAL071-1","Books","Magazines/BrickJournal",2022,"BrickJournal Issue 71",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BRICKJOURNAL072-1","Books","Magazines/BrickJournal",2022,"BrickJournal Issue 72",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BRICKJOURNAL073-1","Books","Magazines/BrickJournal",2022,"BrickJournal Issue 73",,,,10.95,,,,182658004682,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BRICKJOURNAL074-1","Books","Magazines/BrickJournal",2022,"BrickJournal Issue 74",,,,10.95,,,,182658004811,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BRICKJOURNAL075-1","Books","Magazines/BrickJournal",2022,"BrickJournal Issue 75",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN-TBA-1","Books","Murdoch Books",2022,"Brickman's Big Book of Better Builds: All the skills you need to become a LEGO Master",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9780241469422-1","Books","Dorling Kindersley",2022,"The LEGO Ideas Book (New Edition)",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9780241538883-1","Books","Dorling Kindersley",2022,"Star Wars Awesome Vehicles",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9780241542491-1","Books","Dorling Kindersley",2022,"Meet the Minifigures",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9780744054576-1","Books","Dorling Kindersley",2022,"Party Ideas",,0,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9780744054583-1","Books","Dorling Kindersley",2022,"DC Character Encyclopedia New Edition",1,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9780744056907-1","Books","Dorling Kindersley",2022,"A Spellbinding Guide to Hogwarts Houses",1,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9780744060959-1","Books","Dorling Kindersley",2022,"How to Build LEGO Dinosaurs",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9781338802061-1","Books","Klutz",2022,"Race Cars",,124,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9781452182261-1","Books","Chronicle",2022,"The Art of the Minifigure",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9781718502420-1","Books","No Starch Press",2022,"Getting Started With Lego MINDSTORMS",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9781718502505-1","Books","No Starch Press",2022,"The LEGO Engineer",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9781718503144-1","Books","No Starch Press",2022,"Mastering Lego MINDSTORMS",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9781728257907-1","Books","Dorling Kindersley",2022,"Build and Stick: NINJAGO Dragons",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9781728257914-1","Books","Dorling Kindersley",2022,"LEGO Iconic Build and Stick: Custom Cars",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9781797214139-1","Books","Dorling Kindersley",2022,"Build Every Day",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9781797217604-1","Books","Chronicle",2022,"LEGO in Focus: Explore the Miniature World of LEGO Photography",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"REDBRICK-1","Promotional","LEGO Brand Stores",2022,"Buildable 2 x 2 Red Brick",,66,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"SUMMERWAVE-1","Promotional","LEGO Brand Stores",2022,"Summer Wave",,39,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"YOTT-1","Miscellaneous","",2022,"Tiger",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""







